0x8F72	0xE3E0
0x8F74	0xE3E2
0x8F76	0xE3E4
0x8F77	0xE3E5
0x8F78	0xE3E6
0x8F7A	0xE3E8
0x8F7B	0xE3E9
0x8F7C	0xE3EA
0x8F7D	0xE3EB
0x8F7E	0xE3EC
0x8FA3	0xE3EF
0x8FA5	0xE3F1
0x8FA9	0xE3F5
0x8FAA	0xE3F6
0x8FAB	0xE3F7
0x8FAD	0xE3F9
0x8FAF	0xE3FB
0x8FB0	0xE3FC
0x8FB2	0xE3FE
0x8FB4	0xE400
0x8FB5	0xE401
0x8FB6	0xE402
0x8FB7	0xE403
0x8FB8	0xE404
0x8FB9	0xE405
0x8FBA	0xE406
0x8FBB	0xE407
0x8FBC	0xE408
0x8FC0	0xE40C
0x8FC1	0xE40D
0x8FC2	0xE40E
0x8FC3	0xE40F
0x8FC4	0xE410
0x8FC5	0xE411
0x8FC6	0xE412
0x8FC7	0xE413
0x8FC9	0xE415
0x8FCA	0xE416
0x8FCD	0xE419
0x8FCE	0xE41A
0x8FD0	0xE41C
0x8FD3	0xE41F
0x8FD4	0xE420
0x8FD5	0xE421
0x8FD6	0xE422
0x8FD8	0xE424
0x8FDB	0xE427
0x8FDD	0xE429
0x8FDE	0xE42A
0x8FDF	0xE42B
0x8FE2	0xE42E
0x8FE3	0xE42F
0x8FE4	0xE430
0x8FE5	0xE431
0x8FE7	0xE433
0x8FE8	0xE434
0x8FE9	0xE435
0x8FEB	0xE437
0x8FEC	0xE438
0x8FED	0xE439
0x8FF1	0xE43D
0x8FF3	0xE43F
0x8FF6	0xE442
0x8FF7	0xE443
0x8FF9	0xE445
0x8FFA	0xE446
0x8FFB	0xE447
0x8FFD	0xE449
0x9040	0xE44B
0x9044	0xE44F
0x9047	0xE452
0x9048	0xE453
0x9049	0xE454
0x904A	0xE455
0x904B	0xE456
0x904C	0xE457
0x904D	0xE458
0x9050	0xE45B
0x9051	0xE45C
0x9054	0xE45F
0x9055	0xE460
0x9059	0xE464
0x905B	0xE466
0x9060	0xE46B
0x9062	0xE46D
0x9065	0xE470
0x9068	0xE473
0x906A	0xE475
0x906C	0xE477
0x906E	0xE479
0x906F	0xE47A
0x9070	0xE47B
0x9071	0xE47C
0x9072	0xE47D
0x9075	0xE480
0x9076	0xE481
0x9077	0xE482
0x9078	0xE483
0x90A2	0xE48B
0x90A3	0xE48C
0x90A6	0xE48F
0x90A7	0xE490
0x90AA	0xE493
0x90AB	0xE494
0x90AF	0xE498
0x90B0	0xE499
0x90B1	0xE49A
0x90B2	0xE49B
0x90B3	0xE49C
0x90B4	0xE49D
0x90B5	0xE49E
0x90B6	0xE49F
0x90B7	0xE4A0
0x90BC	0xE4A5
0x90BD	0xE4A6
0x90BE	0xE4A7
0x90BF	0xE4A8
0x90C0	0xE4A9
0x90C1	0xE4AA
0x90C3	0xE4AC
0x90C4	0xE4AD
0x90C5	0xE4AE
0x90C7	0xE4B0
0x90C8	0xE4B1
0x90C9	0xE4B2
0x90D2	0xE4BB
0x90D3	0xE4BC
0x90D4	0xE4BD
0x90D5	0xE4BE
0x90D6	0xE4BF
0x90D7	0xE4C0
0x90D9	0xE4C2
0x90DA	0xE4C3
0x90DB	0xE4C4
0x90DE	0xE4C7
0x90DF	0xE4C8
0x90E1	0xE4CA
0x90E2	0xE4CB
0x90E3	0xE4CC
0x90E6	0xE4CF
0x90E7	0xE4D0
0x90E8	0xE4D1
0x90E9	0xE4D2
0x90EA	0xE4D3
0x90EB	0xE4D4
0x90EC	0xE4D5
0x90EE	0xE4D7
0x90EF	0xE4D8
0x90F2	0xE4DB
0x90F5	0xE4DE
0x90F6	0xE4DF
0x90F7	0xE4E0
0x90F8	0xE4E1
0x90F9	0xE4E2
0x90FA	0xE4E3
0x90FC	0xE4E5
0x9141	0xE4E9
0x9142	0xE4EA
0x9143	0xE4EB
0x9144	0xE4EC
0x9145	0xE4ED
0x9148	0xE4F0
0x9149	0xE4F1
0x914A	0xE4F2
0x914B	0xE4F3
0x914C	0xE4F4
0x914D	0xE4F5
0x914F	0xE4F7
0x9152	0xE4FA
0x9153	0xE4FB
0x9154	0xE4FC
0x9155	0xE4FD
0x9156	0xE4FE
0x9158	0xE500
0x915B	0xE503
0x915C	0xE504
0x915E	0xE506
0x915F	0xE507
0x9160	0xE508
0x9161	0xE509
0x9163	0xE50B
0x9164	0xE50C
0x9166	0xE50E
0x9168	0xE510
0x9169	0xE511
0x916B	0xE513
0x916D	0xE515
0x916F	0xE517
0x9170	0xE518
0x9171	0xE519
0x9173	0xE51B
0x917A	0xE522
0x917B	0xE523
0x917D	0xE525
0x917E	0xE526
0x91A1	0xE527
0x91A7	0xE52D
0x91AA	0xE530
0x91AB	0xE531
0x91AC	0xE532
0x91AD	0xE533
0x91AE	0xE534
0x91AF	0xE535
0x91B0	0xE536
0x91B2	0xE538
0x91B3	0xE539
0x91B4	0xE53A
0x91B5	0xE53B
0x91B6	0xE53C
0x91B7	0xE53D
0x91B9	0xE53F
0x91BA	0xE540
0x91BB	0xE541
0x91BC	0xE542
0x91BE	0xE544
0x91C0	0xE546
0x91C1	0xE547
0x91C2	0xE548
0x91C3	0xE549
0x91C4	0xE54A
0x91C6	0xE54C
0x91C7	0xE54D
0x91C8	0xE54E
0x91C9	0xE54F
0x91CA	0xE550
0x91CB	0xE551
0x91CC	0xE552
0x91CD	0xE553
0x91D0	0xE556
0x91D4	0xE55A
0x91D7	0xE55D
0x91DA	0xE560
0x91DB	0xE561
0x91DD	0xE563
0x91DE	0xE564
0x91DF	0xE565
0x91E2	0xE568
0x91E3	0xE569
0x91E4	0xE56A
0x91E5	0xE56B
0x91E6	0xE56C
0x91E9	0xE56F
0x91EB	0xE571
0x91EE	0xE574
0x91F2	0xE578
0x91F5	0xE57B
0x91F9	0xE57F
0x91FB	0xE581
0x9242	0xE587
0x9245	0xE58A
0x924C	0xE591
0x9250	0xE595
0x9251	0xE596
0x9252	0xE597
0x9253	0xE598
0x9254	0xE599
0x9256	0xE59B
0x9257	0xE59C
0x925D	0xE5A2
0x925E	0xE5A3
0x9260	0xE5A5
0x9264	0xE5A9
0x9266	0xE5AB
0x9267	0xE5AC
0x9268	0xE5AD
0x9269	0xE5AE
0x926B	0xE5B0
0x926E	0xE5B3
0x926F	0xE5B4
0x9271	0xE5B6
0x9274	0xE5B9
0x9277	0xE5BC
0x9278	0xE5BD
0x927C	0xE5C1
0x927E	0xE5C3
0x92A1	0xE5C4
0x92A2	0xE5C5
0x92A3	0xE5C6
0x92A4	0xE5C7
0x92A7	0xE5CA
0x92A8	0xE5CB
0x92A9	0xE5CC
0x92AA	0xE5CD
0x92AB	0xE5CE
0x92AC	0xE5CF
0x92AD	0xE5D0
0x92AE	0xE5D1
0x92B3	0xE5D6
0x92B7	0xE5DA
0x92BA	0xE5DD
0x92BB	0xE5DE
0x92BD	0xE5E0
0x92C1	0xE5E4
0x92C4	0xE5E7
0x92C5	0xE5E8
0x92C7	0xE5EA
0x92C9	0xE5EC
0x92CA	0xE5ED
0x92CF	0xE5F2
0x92D2	0xE5F5
0x92D3	0xE5F6
0x92D4	0xE5F7
0x92D5	0xE5F8
0x92D6	0xE5F9
0x92D7	0xE5FA
0x92DA	0xE5FD
0x92DB	0xE5FE
0x92DC	0xE5FF
0x92DE	0xE601
0x92E0	0xE603
0x92E2	0xE605
0x92E3	0xE606
0x92E4	0xE607
0x92E5	0xE608
0x92E6	0xE609
0x92E7	0xE60A
0x92E8	0xE60B
0x92E9	0xE60C
0x92EA	0xE60D
0x92EB	0xE60E
0x92F0	0xE613
0x92F1	0xE614
0x92F2	0xE615
0x92F3	0xE616
0x92F4	0xE617
0x92F5	0xE618
0x92FA	0xE61D
0x92FB	0xE61E
0x92FC	0xE61F
0x92FD	0xE620
0x9340	0xE622
0x9343	0xE625
0x9344	0xE626
0x9346	0xE628
0x9347	0xE629
0x9348	0xE62A
0x934A	0xE62C
0x934B	0xE62D
0x934C	0xE62E
0x934D	0xE62F
0x934E	0xE630
0x934F	0xE631
0x9353	0xE635
0x9354	0xE636
0x9357	0xE639
0x9359	0xE63B
0x935B	0xE63D
0x935C	0xE63E
0x9361	0xE643
0x9362	0xE644
0x9365	0xE647
0x9367	0xE649
0x9368	0xE64A
0x936A	0xE64C
0x936B	0xE64D
0x936E	0xE650
0x936F	0xE651
0x9374	0xE656
0x9378	0xE65A
0x9379	0xE65B
0x937A	0xE65C
0x93A1	0xE661
0x93A4	0xE664
0x93A9	0xE669
0x93AB	0xE66B
0x93AC	0xE66C
0x93AD	0xE66D
0x93B0	0xE670
0x93B2	0xE672
0x93B3	0xE673
0x93B4	0xE674
0x93B5	0xE675
0x93BA	0xE67A
0x93BE	0xE67E
0x93C1	0xE681
0x93C2	0xE682
0x93C9	0xE689
0x93CD	0xE68D
0x93D1	0xE691
0x93D3	0xE693
0x93D4	0xE694
0x93D5	0xE695
0x93D8	0xE698
0x93DB	0xE69B
0x93DD	0xE69D
0x93E0	0xE6A0
0x93E3	0xE6A3
0x93E4	0xE6A4
0x93E5	0xE6A5
0x93E7	0xE6A7
0x93E8	0xE6A8
0x93E9	0xE6A9
0x93EA	0xE6AA
0x93EB	0xE6AB
0x93EE	0xE6AE
0x93EF	0xE6AF
0x93F0	0xE6B0
0x93F1	0xE6B1
0x93F3	0xE6B3
0x93F4	0xE6B4
0x93F5	0xE6B5
0x93F6	0xE6B6
0x93F7	0xE6B7
0x93F8	0xE6B8
0x93FB	0xE6BB
0x93FC	0xE6BC
0x9440	0xE6BF
0x9443	0xE6C2
0x9444	0xE6C3
0x9445	0xE6C4
0x9449	0xE6C8
0x944A	0xE6C9
0x944C	0xE6CB
